DICTION             27     201304 Nuclides                        3000002700001 
21-SC-51   (  3          )                                        3000002700267 
22-TI-0    (1  4     CS  )                                        3000002700268 
22-TI-39   (  3          )                                        3000002700269 
22-TI-40   (  3          )                                        3000002700270 
22-TI-41   (  3          )                                        3000002700271 
22-TI-42   (1 3      C   )                                        3000002700272 
22-TI-43   (  3          )                                        3000002700273 
22-TI-44   (1 3      C   )                                        3000002700274 
22-TI-45   (1 3      C   )                                        3000002700275 
22-TI-46   (1 3      CS  )                                        3000002700276 
22-TI-47   (1 34     CS  )                                        3000002700277 
22-TI-48   (1 3      CS  )                                        3000002700278 
22-TI-49   (1 3      CS  )                                        3000002700279 
22-TI-50   (1 3      CS  )                                        3000002700280 
22-TI-51   (  34     T   )                                        3000002700281 
22-TI-52   (  3      T   )                                        3000002700282 
23-V-0     (X  4      S  )                                        3000002700283 
23-V-43    ( 23          )                                        3000002700284 
23-V-44    ( 23         1)                                        3000002700285 
23-V-45    ( 23          )                                        3000002700286 
23-V-46    ( 23          )                                        3000002700287 
23-V-47    ( 23      T   )                                        3000002700288 
23-V-48    (  3      T   )                                        3000002700289 
23-V-49    (  3      T   )                                        3000002700290 
23-V-50    (1 34     CS  )                                        3000002700291 
23-V-51    (1 34     CS  )                                        3000002700292 
23-V-52    (  34     C   )                                        3000002700293 
23-V-53    (  3      T   )                                        3000002700294 
23-V-54    (  3      T   )                                        3000002700295 
23-V-55    (1234     T   )                                        3000002700296 
24-CR-0    (1  4     CS  )                                        3000002700297 
24-CR-43   (  3          )                                        3000002700298 
24-CR-44   ( 23          )                                        3000002700299 
24-CR-45   ( 23          )                                        3000002700300 
24-CR-46   ( 23          )                                        3000002700301 
24-CR-47   ( 23          )                                        3000002700302 
24-CR-48   ( 23      T   )                                        3000002700303 
24-CR-49   (123      C   )                                        3000002700304 
24-CR-50   (1 34     CS  )                                        3000002700305 
24-CR-51   (1 34     C   )                                        3000002700306 
24-CR-52   (123      CS  )                                        3000002700307 
24-CR-53   (1 34     CS  )                                        3000002700308 
24-CR-54   (123      CS  )                                        3000002700309 
24-CR-55   (1 34     C   )                                        3000002700310 
24-CR-56   (  3      T   )                                        3000002700311 
24-CR-57   (1234     T   )                                        3000002700312 
24-CR-59   (  3      T   )                                        3000002700313 
25-MN-46   ( 23          )                                        3000002700314 
25-MN-47   ( 23          )                                        3000002700315 
25-MN-48   ( 23          )                                        3000002700316 
25-MN-49   ( 23          )                                        3000002700317 
25-MN-50   ( 23         1)                                        3000002700318 
25-MN-51   ( 23      T   )                                        3000002700319 
25-MN-52   (1 3      C  1)                                        3000002700320 
25-MN-53   (1 34     C   )                                        3000002700321 
25-MN-54   (1 34     C   )                                        3000002700322 
25-MN-55   (1 34     CS  )                                        3000002700323 
25-MN-56   (1 34     C   )                                        3000002700324 
25-MN-57   (  3      T   )                                        3000002700325 
25-MN-58   (  3      T  1)                                        3000002700326 
           2 isomers exist, not known which one is ground state   3000002700327 
25-MN-59   (1234         )                                        3000002700328 
25-MN-60   (1234         )                                        3000002700329 
26-FE-0    (1  4     CS  )                                        3000002700330 
26-FE-46   (  3          )                                        3000002700331 
26-FE-47   (  3          )                                        3000002700332 
26-FE-48   ( 23          )                                        3000002700333 
26-FE-49   ( 23          )                                        3000002700334 
26-FE-50   ( 23          )                                        3000002700335 
26-FE-51   ( 23      T   )                                        3000002700336 
26-FE-52   (123      C  1)                                        3000002700337 
26-FE-53   (123      C  1)                                        3000002700338 
26-FE-54   (1 34     CS  )                                        3000002700339 
26-FE-55   (1 34     C   )                                        3000002700340 
26-FE-56   (1234     CS  )                                        3000002700341 
26-FE-57   (1 34     CS  )                                        3000002700342 
26-FE-58   (123      CS  )                                        3000002700343 
26-FE-59   (1 34     C   )                                        3000002700344 
26-FE-60   (  3      T   )                                        3000002700345 
26-FE-61   (  3      T   )                                        3000002700346 
26-FE-62   (1234         )                                        3000002700347 
26-FE-68   (  3      T   )                                        3000002700348 
27-CO-50   ( 23          )                                        3000002700349 
27-CO-51   ( 23          )                                        3000002700350 
27-CO-52   ( 23         1)                                        3000002700351 
27-CO-53   ( 23          )                                        3000002700352 
27-CO-54   ( 23         1)                                        3000002700353 
27-CO-55   (123      C   )                                        3000002700354 
27-CO-56   (1 3      C   )                                        3000002700355 
27-CO-57   (  3      T   )                                        3000002700356 
27-CO-58   (1 34     C  1)                                        3000002700357 
27-CO-59   (1 34     CS  )                                        3000002700358 
27-CO-60   (1 34     C  1)                                        3000002700359 
27-CO-61   (  3      T   )                                        3000002700360 
27-CO-62   (  3      T  1)                                        3000002700361 
           2 isomers exist, not known which one is ground state   3000002700362 
27-CO-63   (  3      T   )                                        3000002700363 
27-CO-64   (  3      T   )                                        3000002700364 
27-CO-65   (1234         )                                        3000002700365 
27-CO-68   (  3      T   )                                        3000002700366 
27-CO-69   (  3      T   )                                        3000002700367 
28-NI-0    (1  4     CS  )                                        3000002700368 
28-NI-50   (  3          )                                        3000002700369 
28-NI-51   (  3          )                                        3000002700370 
28-NI-52   ( 23          )                                        3000002700371 
28-NI-53   ( 23          )                                        3000002700372 
28-NI-54   ( 23          )                                        3000002700373 
28-NI-55   ( 23      T   )                                        3000002700374 
28-NI-56   (123      C   )                                        3000002700375 
28-NI-57   (123      C   )                                        3000002700376 
28-NI-58   (1234     CS  )                                        3000002700377 
28-NI-59   (1 34     C   )                                        3000002700378 
28-NI-60   (1234     CS  )                                        3000002700379 
28-NI-61   (1 34     CS  )                                        3000002700380 
28-NI-62   (1 3      CS  )                                        3000002700381 
28-NI-63   (1 34     C   )                                        3000002700382 
28-NI-64   (123      CS  )                                        3000002700383 
28-NI-65   (1 3      C   )                                        3000002700384 
28-NI-66   (  3      T   )                                        3000002700385 
28-NI-67   (  3      T   )                                        3000002700386 
28-NI-68   (  3      T   )                                        3000002700387 
28-NI-69   (  3      T   )                                        3000002700388 
28-NI-70   (  3      T   )                                        3000002700389 
28-NI-71   (1234         )                                        3000002700390 
28-NI-72   (1234         )                                        3000002700391 
28-NI-73   (  3      T   )                                        3000002700392 
28-NI-74   (1234         )                                        3000002700393 
29-CU-0    (1  4     CS  )                                        3000002700394 
29-CU-57   (  3          )                                        3000002700395 
29-CU-58   (  3          )                                        3000002700396 
29-CU-59   (1 3      C   )                                        3000002700397 
